factid,timeid,clientid,addressid,productid,orderid,orderlineid,SALES,DEALSIZE
161,161,161,161,161,161,161,5265.15,Medium
162,162,162,162,161,162,162,7599.9,Large
163,163,44,163,161,163,163,8008.56,Large
164,164,49,164,161,164,164,9245.76,Large
165,4,4,165,161,4,49,8296.35,Large
166,166,51,51,161,166,166,5019.9,Medium
167,167,7,167,161,167,167,5411.07,Medium
168,168,168,168,161,168,168,3840.9,Medium
169,169,25,169,161,169,169,3930.4,Medium
170,9,9,170,161,9,49,7498.9,Large
171,171,171,171,161,171,171,4517.91,Medium
172,172,106,172,161,172,172,5774.72,Medium
173,173,24,173,161,173,173,3922.56,Medium
174,174,174,174,161,174,174,9160.36,Large
175,175,175,175,161,175,175,9631,Large
176,176,171,176,161,176,176,3432.24,Medium
177,177,177,177,161,177,177,5521.89,Medium
178,178,168,178,161,178,178,6934.62,Medium
179,179,27,179,161,179,179,6876.11,Medium
180,19,0,180,161,19,180,2930.27,Small
181,20,20,181,161,20,181,3584.25,Medium
182,182,182,182,161,182,182,2817.87,Small
183,22,14,183,161,22,183,3420,Medium
184,23,42,184,161,184,184,2575.04,Small
185,185,20,185,161,185,185,1961.28,Small
186,106,106,186,186,106,186,8690.36,Large
187,187,30,187,186,187,139,6034.38,Medium
188,188,188,188,186,188,81,11279.2,Large
189,189,44,189,186,189,189,8023.29,Large
190,190,25,190,186,190,190,4904,Medium
191,191,30,191,186,191,191,8594.52,Large
192,32,174,192,186,192,108,7474.5,Large
193,113,109,193,186,193,193,3883.74,Medium
194,114,38,194,186,194,194,8887.7,Large
195,195,34,195,186,195,195,8602.92,Large
196,196,196,196,186,196,130,7181.44,Large
197,197,197,197,186,197,197,8378.58,Large
198,198,182,198,186,198,198,10606.2,Large
199,199,18,199,186,199,199,5818.4,Medium
200,120,44,200,186,200,17,7071.27,Large
201,201,41,201,186,201,201,8411.56,Large
202,122,202,202,186,202,202,6570.76,Medium
203,151,203,203,186,203,203,7975.44,Large
204,124,17,204,186,124,204,2688,Small
205,205,134,205,186,205,205,1888.26,Small
206,123,28,206,186,206,206,2513.28,Small
207,127,1,207,186,127,207,4764.48,Medium
208,208,44,208,186,208,39,3560.64,Medium
209,50,44,209,186,209,209,3823.64,Medium
210,130,2,210,186,130,210,2280.96,Small
211,211,13,211,186,211,211,8677.8,Large
212,26,17,212,212,26,95,3394.98,Medium
213,213,44,213,212,213,138,3415.44,Medium
214,28,28,214,212,28,214,2439.57,Small
215,29,5,215,212,29,215,4829.8,Medium
216,30,30,216,212,30,216,4100.1,Medium
217,138,138,217,212,138,217,6563.06,Medium
218,32,32,218,212,32,218,6817.22,Medium
219,33,33,219,212,33,17,6163.94,Medium
220,34,34,220,212,34,215,4933.92,Medium
221,35,35,221,212,35,172,4056.36,Medium
222,222,43,222,212,222,218,5759.42,Medium
223,144,44,223,212,144,223,3451,Medium
224,38,38,224,212,38,224,5920.4,Medium
225,39,39,225,212,39,225,6668.24,Medium
226,40,21,21,212,40,226,4094.72,Medium
227,148,18,227,212,148,223,2938.5,Small
228,42,42,228,212,42,228,6387.8,Medium
229,43,43,229,212,43,128,6396,Medium
230,151,35,230,212,151,230,2669.1,Small
231,45,45,231,212,45,171,4784.13,Medium
232,46,8,232,212,46,232,3273.93,Medium
233,47,10,10,212,47,233,3586.43,Medium
234,48,44,234,212,48,234,5960.36,Medium
235,49,51,51,212,156,234,8470.14,Large
236,50,4,236,212,50,97,2952,Small
237,51,51,51,212,51,237,2464.8,Small
238,52,52,238,212,52,238,6232,Medium
239,53,25,239,212,53,90,7969.36,Large
240,0,0,240,240,0,31,3036.6,Medium
241,1,1,241,240,1,241,8284,Large
242,2,2,242,240,2,97,2711.2,Small
243,3,3,243,240,3,243,8339.8,Large
244,4,4,244,240,4,150,6238.84,Medium
245,166,51,51,240,166,245,4639.25,Medium
246,6,6,246,240,6,246,6747.6,Medium
247,7,3,247,240,247,140,4512.48,Medium
248,8,8,248,240,8,248,4029,Medium
249,9,9,249,240,9,249,4771.8,Medium
250,250,6,250,240,250,250,6087.94,Medium
251,11,11,251,240,11,39,4193.28,Medium
252,12,12,252,240,12,252,7552.28,Large
253,13,13,253,240,13,7,6434.4,Medium
254,175,175,254,240,175,254,5181.5,Medium
255,15,15,255,240,15,243,6863.92,Medium
256,16,16,256,240,16,256,4157.04,Medium
257,17,17,257,240,17,136,4660.24,Medium
258,179,258,258,240,258,258,4111.8,Medium
259,19,0,259,240,19,259,3542.64,Medium
260,20,20,260,240,20,260,8118.55,Large
261,101,5,261,240,101,65,3877.06,Medium
262,22,14,262,240,22,262,3867.08,Medium
263,23,23,263,240,23,263,5951.44,Medium
264,24,24,264,240,24,264,8648.64,Large
265,25,25,265,240,25,31,3447.78,Medium
266,266,25,266,266,266,89,5958.5,Medium
267,187,30,267,266,187,267,5911.64,Medium
268,188,188,268,266,188,268,7366.44,Large
269,189,44,269,266,189,269,4985.64,Medium
270,190,25,270,266,190,60,5393.64,Medium
271,191,30,271,266,191,32,4880.02,Medium
272,32,174,272,266,192,272,8378.69,Large
273,113,109,273,266,193,273,4038.21,Medium
274,114,38,274,266,194,259,3807.12,Medium
275,195,34,275,266,195,275,3142.36,Medium
276,196,196,276,266,196,276,4713.6,Medium
277,277,177,277,266,277,218,7016.31,Large
278,198,182,278,266,198,278,4381.25,Medium
279,199,18,279,266,199,279,4283.01,Medium
280,120,44,280,266,200,280,4364.82,Medium
281,201,41,281,266,201,281,4242.24,Medium
282,122,202,282,266,202,282,4982.7,Medium
283,151,203,283,266,203,283,6393.54,Medium
284,124,11,284,266,284,284,1466.91,Small
285,205,134,285,266,205,285,4059.33,Medium
286,123,28,286,266,206,64,4801.52,Medium
287,48,25,287,266,287,287,2711.66,Small
288,288,39,288,266,288,288,5862,Medium
289,50,44,289,266,209,29,4071.85,Medium
290,211,13,290,266,211,272,8236.75,Large
291,161,161,291,291,161,72,6130.35,Medium
292,162,162,292,291,162,292,3693.34,Medium
293,163,44,293,291,163,293,6031.68,Medium
294,164,49,294,291,164,294,3494.94,Medium
295,295,115,295,291,295,283,5294.14,Medium
296,166,138,296,291,296,64,5464.69,Medium
297,167,7,297,291,167,297,2860.76,Small
298,168,168,298,291,168,45,5590,Medium
299,169,25,299,291,169,299,2254.8,Small
300,300,25,300,291,300,300,4946.76,Medium
301,171,171,301,291,171,301,2495.5,Small
302,172,106,302,291,172,27,3167.38,Medium
303,173,24,303,291,173,303,2402.84,Small
304,174,174,304,291,174,304,2454.54,Small
305,175,175,305,291,175,305,5464.69,Medium
306,176,171,306,291,176,306,4756.5,Medium
307,177,177,307,291,177,233,3984.6,Medium
308,178,168,308,291,178,256,3100.32,Medium
309,179,27,309,291,179,309,4850.3,Medium
310,19,0,310,291,19,310,3846.98,Medium
311,20,20,311,291,20,311,4220.92,Medium
312,182,182,312,291,182,312,3288.82,Medium
313,313,313,313,291,313,309,3987.2,Medium
314,23,42,314,291,184,314,1809.5,Small
315,185,20,315,291,185,315,1092.2,Small
316,106,106,316,316,106,316,4566.05,Medium
317,187,30,317,316,187,115,5938.14,Medium
318,188,188,318,316,188,19,8138.76,Large
319,189,44,319,316,189,107,9470.94,Large
320,190,25,320,316,190,320,7036.89,Large
321,191,30,321,316,191,154,5559.03,Medium
322,32,174,322,316,192,322,7872.5,Large
323,113,109,323,316,193,323,7886.2,Large
324,114,38,324,316,194,324,7232.16,Large
325,195,34,325,316,195,325,3114.4,Medium
326,196,196,326,316,196,118,5045.22,Medium
327,197,197,327,316,197,327,6952.12,Medium
328,198,182,328,316,198,118,4157.73,Medium
329,199,18,329,316,199,329,7962.24,Large
330,120,44,330,316,200,51,3778.8,Medium
331,201,41,331,316,201,331,8253,Large
332,122,202,332,316,202,325,3633.4,Medium
333,151,203,333,316,203,333,6913.8,Medium
334,124,17,334,316,124,121,2583.6,Small
335,205,134,335,316,205,335,3105.62,Medium
336,336,188,336,316,336,336,4408.56,Medium
337,127,1,337,316,127,337,3042.41,Medium
338,288,39,338,316,288,89,5941.5,Medium
339,50,44,339,316,209,339,3241.9,Medium
340,340,44,340,316,340,340,6109.29,Medium
341,211,13,341,316,211,65,3387.78,Medium
342,161,161,342,342,161,342,3485.82,Medium
343,162,162,343,342,162,343,2042.88,Small
344,163,44,344,342,163,344,1800.24,Small
345,164,49,345,342,164,345,1340.64,Small
346,4,4,346,342,4,346,1762.08,Small
347,166,51,51,342,166,347,2298.24,Small
348,167,7,348,342,167,348,1628,Small
349,168,168,349,342,168,349,1939.2,Small
350,169,25,350,342,169,350,3651.56,Medium
351,9,9,351,342,9,351,2591.96,Small
352,171,171,352,342,171,352,2864.17,Small
353,172,106,353,342,172,353,1484.2,Small
354,173,24,354,342,173,354,2254.25,Small
355,174,174,355,342,174,355,2681.35,Small
356,175,175,356,342,175,356,3184.02,Medium
357,176,171,357,342,176,357,2846.63,Small
358,177,177,358,342,177,358,1685.42,Small
359,178,168,359,342,178,359,3988.6,Medium
360,179,27,360,342,179,360,2789.96,Small
361,19,0,361,342,19,273,3607.56,Medium
362,20,20,362,342,20,362,3368.16,Medium
363,182,182,363,342,182,363,2775.08,Small
364,364,16,364,342,364,364,1627.92,Small
365,23,42,365,342,184,365,2529.36,Small
366,185,20,366,342,185,366,3065.78,Medium
367,266,25,367,367,266,20,4615.78,Medium
368,368,31,368,367,368,368,5723.78,Medium
369,188,188,369,367,188,369,2559.6,Small
370,370,182,370,367,370,370,2140.11,Small
371,371,128,371,367,371,371,3327.6,Medium
372,191,30,372,367,191,372,6825.6,Medium
373,32,108,373,367,139,373,3543.28,Medium
374,113,374,374,367,374,157,4516.22,Medium
375,34,71,375,367,375,217,6445.46,Medium
376,142,142,376,367,142,376,3384.36,Medium
377,377,377,377,367,377,377,4891.68,Medium
378,144,44,378,367,144,378,4521.96,Medium
379,198,25,379,367,379,368,5069.66,Medium
380,39,143,380,367,146,380,6541.2,Medium
381,199,44,381,367,381,381,3012.27,Medium
382,148,18,382,367,148,382,5247.18,Medium
383,42,0,383,367,383,214,2214.87,Small
384,150,15,384,367,150,203,4773.18,Medium
385,151,203,385,367,203,385,6185.7,Medium
386,124,11,386,367,284,386,1517.88,Small
387,205,134,387,367,205,387,6372.6,Medium
388,336,188,388,367,336,388,5232.96,Medium
389,48,25,389,367,287,389,2694.72,Small
390,208,44,390,367,208,390,1749.79,Small
391,50,44,391,367,209,391,2130.56,Small
392,392,25,392,367,392,392,5951.34,Medium
393,53,14,393,367,160,393,4692.6,Medium
394,161,161,394,394,161,50,3731.04,Medium
395,162,162,395,394,162,395,2142,Small
396,163,44,396,394,163,396,2838.81,Small
397,164,49,397,394,164,397,3230.37,Medium
398,295,115,398,394,295,398,5182,Medium
399,166,138,399,394,296,225,4391.1,Medium
400,167,7,400,394,167,400,4477.32,Medium
401,168,45,401,394,401,401,3544.56,Medium
402,169,25,402,394,169,194,5195.85,Medium
403,300,25,403,394,300,403,4180.44,Medium
404,171,171,404,394,171,404,2684.43,Small
405,405,128,405,394,405,405,1958.88,Small
406,173,24,406,394,173,406,4910.57,Medium
407,174,174,407,394,174,407,4468.4,Medium
408,408,30,408,394,408,140,3127.88,Medium
409,176,171,409,394,176,16,2675.13,Small
410,177,177,410,394,177,63,2807.61,Small
411,178,168,411,394,178,411,2504.75,Small
412,45,23,412,394,412,412,2984.88,Small
413,19,0,413,394,19,413,2524.86,Small
414,20,20,414,394,20,414,4136,Medium
415,182,182,415,394,182,415,4068.7,Medium
416,364,16,416,394,364,322,5182,Medium
417,23,42,417,394,184,417,5243.79,Medium
418,418,418,418,394,418,418,9048.16,Large
419,185,20,419,394,185,48,3832.64,Medium
420,26,17,420,420,26,420,3920,Medium
421,213,44,421,420,213,88,4916.66,Medium
422,28,28,422,420,28,422,3857,Medium
423,29,5,423,420,29,48,4181.44,Medium
424,30,30,424,420,30,424,4641,Medium
425,138,138,425,420,138,425,3570.12,Medium
426,32,32,426,420,32,426,4480.32,Medium
427,33,33,427,420,33,427,2033.64,Small
428,34,34,428,420,34,428,1960.14,Small
429,35,35,429,420,35,429,3966.78,Medium
430,36,36,430,420,36,81,5152,Medium
431,37,37,431,420,37,431,3360,Medium
432,38,38,432,420,38,432,3451,Medium
433,39,39,433,420,39,17,5453,Medium
434,40,21,21,420,40,434,4164.12,Medium
435,41,41,435,420,41,121,2800.08,Small
436,42,42,436,420,42,406,4687.94,Medium
437,43,43,437,420,43,437,4508,Medium
438,44,44,438,420,44,130,4181.44,Medium
439,45,45,439,420,45,439,2251.04,Small
440,46,8,440,420,46,440,1167.25,Small
441,47,10,10,420,47,441,2083.2,Small
442,48,44,442,420,48,442,3822,Medium
443,49,51,51,420,156,118,3911.49,Medium
444,50,4,444,420,50,444,4704,Medium
445,51,51,51,420,51,445,2467.9,Small
446,52,52,446,420,52,95,3213,Medium
447,53,25,447,420,53,392,7182,Large
448,448,65,448,448,448,136,4379.18,Medium
449,162,162,449,448,162,13,5004.8,Medium
450,450,112,450,448,450,450,3644.75,Medium
451,451,51,51,448,451,451,2702.04,Small
452,452,203,452,448,452,297,3764.88,Medium
453,453,52,453,448,453,199,4508,Medium
454,167,7,454,448,167,263,5418.16,Medium
455,168,45,455,448,401,303,3300.66,Medium
456,169,188,456,448,456,456,6182.4,Medium
457,300,25,457,448,300,457,4186.73,Medium
458,171,171,458,448,171,431,4529.28,Medium
459,459,63,459,448,459,225,5628.89,Medium
460,173,24,460,448,173,460,3054.48,Medium
461,174,174,461,448,174,404,2526.51,Small
462,462,462,462,448,462,462,4667.86,Medium
463,176,171,463,448,176,93,6499.32,Medium
464,464,464,464,448,464,464,5917.78,Medium
465,178,168,465,448,178,465,6231.91,Medium
466,45,23,466,448,412,406,5803.14,Medium
467,467,65,467,448,467,283,6434.02,Medium
468,20,10,10,448,468,468,6454.4,Medium
469,469,2,469,448,469,469,4196.8,Medium
470,470,109,470,448,470,470,2611.8,Small
471,364,16,471,448,364,199,5895.05,Medium
472,472,44,472,448,472,472,3375.72,Medium
473,473,106,473,448,473,473,8374.69,Large
474,185,20,474,448,185,203,4464.24,Medium
475,475,11,475,475,475,475,4808.31,Medium
476,476,8,476,475,476,476,3288.78,Medium
477,477,10,10,475,477,431,3254.72,Medium
478,478,21,21,475,478,478,3184.94,Medium
479,479,377,479,475,479,241,5907.5,Medium
480,480,4,480,475,480,480,4389.12,Medium
481,453,481,481,475,481,250,5036.16,Medium
482,167,44,482,475,482,482,2183.25,Small
483,483,483,483,475,483,483,3106.88,Medium
484,484,25,484,475,484,211,3735.72,Medium
485,36,36,485,475,36,485,2413.26,Small
486,486,34,486,475,486,278,2953.75,Small
487,487,25,487,475,487,151,4684.8,Medium
488,488,106,488,475,488,488,3248.7,Medium
489,41,41,489,475,41,144,5239.5,Medium
490,490,7,490,475,490,490,4567.98,Medium
491,43,43,491,475,43,491,3535.35,Medium
492,44,44,492,475,44,492,3843.34,Medium
493,45,45,493,475,45,493,3710.9,Medium
494,467,202,494,475,494,494,4375.98,Medium
495,47,462,495,475,495,495,1516.62,Small
496,469,2,496,475,469,496,2509,Small
497,49,49,497,475,49,497,9240.44,Large
498,498,25,498,475,498,498,2515.32,Small
499,51,51,51,475,51,199,5548.9,Medium
500,500,18,500,475,500,500,4873.05,Medium
501,475,11,501,501,475,501,2055.74,Small
502,476,8,502,501,476,502,2354.88,Small
503,28,28,503,501,28,503,2309.58,Small
504,478,21,21,501,478,504,2113.37,Small
505,479,377,505,501,479,505,1746.6,Small
506,480,4,506,501,480,506,2304.45,Small
507,453,481,507,501,481,507,2122.08,Small
508,167,44,508,501,482,508,1742.4,Small
509,483,483,509,501,483,509,2455.02,Small
510,484,25,510,501,484,510,3053.28,Medium
511,36,36,511,501,36,511,1423.29,Small
512,486,34,512,501,486,512,1504.12,Small
513,487,25,513,501,487,513,1164.4,Small
514,488,106,514,501,488,514,1500.75,Small
515,41,41,515,501,41,515,1557.36,Small
516,490,7,516,501,490,516,1345.68,Small
517,43,43,517,501,43,517,1795.24,Small
518,44,44,518,501,44,518,1105.25,Small
519,45,45,519,501,45,519,2364.88,Small
520,467,202,520,501,494,520,2427.03,Small
521,47,10,10,501,47,521,1237.95,Small
522,469,2,522,501,469,522,1593.02,Small
523,49,49,523,501,49,523,3156.16,Medium
524,50,4,524,501,50,524,1320.75,Small
525,51,51,51,501,51,525,4998,Medium
526,500,18,526,501,500,526,1293.75,Small
527,527,202,527,527,527,527,5433.08,Medium
528,528,70,528,527,528,153,3073.72,Medium
529,529,1,529,527,529,529,4380.2,Medium
530,451,51,51,527,451,69,5848.68,Medium
531,452,203,531,527,452,531,6153.73,Medium
532,453,13,532,527,532,532,4965.24,Medium
533,167,7,533,527,167,197,5435.64,Medium
534,168,45,534,527,401,534,4258.36,Medium
535,169,188,535,527,456,535,4032,Medium
536,300,25,536,527,300,224,4492.36,Medium
537,537,116,537,527,537,324,4161.38,Medium
538,459,418,538,527,538,230,2508.66,Small
539,173,24,539,527,173,121,3374.88,Medium
540,174,174,540,527,174,211,5196.6,Medium
541,462,462,541,527,462,63,2604.52,Small
542,542,143,542,527,542,542,2936.8,Small
543,464,464,543,527,464,543,3424.64,Medium
544,178,25,544,527,544,544,2923.2,Small
545,45,23,545,527,412,263,4489.76,Medium
546,467,65,546,527,467,174,4849.24,Medium
547,20,1,547,527,547,333,5848.92,Medium
548,548,3,548,527,548,548,2758.7,Small
549,549,25,549,527,549,549,1449.76,Small
550,550,131,550,527,550,550,7048.14,Large
551,185,20,551,527,185,10,5202.94,Medium
552,552,481,552,552,552,552,5279.4,Medium
553,107,20,553,552,107,553,6916.12,Medium
554,554,554,554,552,554,554,2781.66,Small
555,109,109,555,552,109,555,5248,Medium
556,110,16,556,552,110,203,6531.44,Medium
557,111,42,557,552,111,218,5763.72,Medium
558,112,112,558,552,112,133,6490.68,Medium
559,113,113,559,552,113,431,6004.8,Medium
560,560,161,560,552,560,133,7483.98,Large
561,63,63,561,552,63,561,5719.5,Medium
562,116,116,562,552,116,88,6954.08,Medium
563,563,131,563,552,563,385,8160.3,Large
564,564,25,564,552,564,564,6567.96,Medium
565,119,49,565,552,565,382,6724,Medium
566,566,464,566,552,566,566,5747.85,Medium
567,567,567,567,552,567,567,5676.84,Medium
568,122,33,568,552,122,329,7379.97,Large
569,123,123,569,552,123,171,3704.13,Medium
570,570,106,570,552,570,120,2804.75,Small
571,571,571,571,552,571,382,5624.79,Medium
572,572,108,572,552,572,572,3881.28,Medium
573,128,128,573,552,128,573,1611.4,Small
574,574,25,574,552,574,574,1364.25,Small
575,575,1,575,552,575,285,4215.09,Medium
576,131,131,576,552,131,89,6433.82,Medium
577,577,174,577,552,577,577,4352.16,Medium
578,578,45,578,578,578,276,5151,Medium
579,527,202,579,578,527,163,6069,Medium
580,477,462,580,578,580,404,2856,Small
581,479,377,581,578,479,581,5375.4,Medium
582,480,4,582,578,480,544,5176.5,Medium
583,453,481,583,578,481,173,3508.8,Medium
584,167,44,584,578,482,584,7554.8,Large
585,483,483,585,578,483,585,3141.6,Medium
586,169,188,586,578,456,393,5890.5,Medium
587,587,28,587,578,587,587,5967,Medium
588,486,34,588,578,486,336,3712.8,Medium
589,459,418,589,578,538,49,7597.3,Large
590,41,41,590,578,41,590,3668.6,Medium
591,542,143,591,578,542,591,5875.2,Medium
592,110,24,592,578,592,218,7310,Large
593,44,44,593,578,44,593,8078.4,Large
594,467,65,594,578,467,594,3257.76,Medium
595,595,162,595,578,595,78,7650,Large
596,548,3,596,578,548,98,4703.81,Medium
597,549,25,597,578,597,475,5399.55,Medium
598,550,131,598,578,550,598,14082.8,Large
599,599,21,21,578,599,599,5283.6,Medium
600,161,161,600,600,161,600,3130.82,Medium
601,162,162,601,600,162,601,3112.34,Medium
602,163,44,602,600,163,602,3806.88,Medium
603,164,49,603,600,164,603,2142.14,Small
604,295,115,604,600,295,604,3364.9,Medium
605,166,138,605,600,296,605,1262.8,Small
606,167,7,606,600,167,606,1626.24,Small
607,168,45,607,600,401,607,4088.7,Medium
608,169,25,608,600,169,608,3846.15,Medium
609,300,25,609,600,300,609,1339.8,Small
610,171,171,610,600,171,610,3039.96,Medium
611,405,128,611,600,405,611,3400.32,Medium
612,173,24,612,600,173,612,1930.39,Small
613,174,174,613,600,174,613,2464.77,Small
614,462,462,614,600,462,614,2634.94,Small
615,176,171,615,600,176,615,3625.16,Medium
616,177,177,616,600,177,616,3788.4,Medium
617,178,168,617,600,178,617,1832.6,Small
618,45,23,618,600,412,618,2905.98,Small
