DATE_ID,QTR_ID,MONTH_ID,YEAR_ID,timeid
5,2,5,2004,198
20,3,7,2004,199
9,3,9,2004,201
20,4,11,2004,205
23,1,1,2005,208
5,2,5,2005,211
26,1,3,2003,213
2,1,2,2004,222
21,1,2,2004,250
31,1,1,2003,266
15,1,3,2004,277
26,1,1,2005,288
11,4,10,2003,295
16,1,1,2004,300
8,1,2,2005,313
1,4,12,2004,336
23,1,3,2005,340
9,1,2,2005,364
4,2,4,2003,368
1,3,8,2003,370
21,3,9,2003,371
10,1,2,2004,377
3,2,5,2005,392
12,2,4,2004,405
4,3,8,2004,408
14,2,4,2005,418
10,1,3,2003,448
4,3,7,2003,450
11,3,9,2003,451
17,4,10,2003,452
5,4,11,2003,453
13,2,4,2004,459
6,3,8,2004,462
5,4,10,2003,464
17,4,11,2004,467
9,4,12,2004,469
7,1,1,2005,470
4,1,3,2005,472
15,2,4,2005,473
10,1,1,2003,475
25,1,3,2003,476
21,2,5,2003,477
16,3,7,2003,478
12,3,9,2003,479
18,4,10,2003,480
21,4,11,2003,483
3,4,12,2003,484
2,1,3,2004,486
29,2,4,2004,487
8,2,6,2004,488
3,3,9,2004,490
16,1,2,2005,498
30,2,5,2005,500
18,1,3,2003,527
20,2,5,2003,528
10,3,7,2003,529
26,1,2,2004,537
1,3,9,2004,542
12,1,1,2005,548
10,1,2,2005,549
22,2,4,2005,550
17,1,2,2003,552
16,2,6,2003,554
27,4,11,2003,560
11,2,5,2004,563
24,2,6,2004,564
21,3,8,2004,566
15,3,9,2004,567
10,4,11,2004,570
22,4,11,2004,571
3,4,12,2004,572
1,1,3,2005,574
30,1,3,2005,575
10,2,5,2005,577
6,1,1,2003,578
26,1,1,2004,587
25,4,11,2004,595
29,2,5,2005,599
10,1,1,2005,648
6,4,10,2004,694
22,1,2,2005,725
9,1,1,2003,728
26,2,4,2004,739
23,2,4,2005,751
27,2,6,2003,783
2,2,4,2004,788
16,3,9,2004,793
4,4,12,2004,798
3,2,4,2005,802
4,2,6,2004,843
14,2,6,2004,894
16,3,7,2004,922
10,1,3,2005,933
6,2,6,2003,990
7,4,11,2003,994
18,1,2,2004,998
20,1,3,2004,999
15,1,3,2005,1060
9,4,11,2004,1083
26,2,5,2004,1102
2,3,7,2004,1103
7,3,9,2004,1129
16,4,11,2004,1159
7,4,12,2004,1161
3,3,9,2003,1193
30,2,6,2004,1202
28,3,8,2004,1204
8,2,5,2004,1226
12,4,11,2004,1233
9,2,5,2005,1240
25,3,9,2003,1245
22,1,1,2004,1276
29,4,10,2004,1307
7,3,7,2004,1404
9,3,8,2004,1405
19,4,11,2003,1675
19,1,1,2005,1712
2,4,10,2003,1823
29,1,3,2004,1830
28,1,2,2005,1966
20,2,4,2004,2035
2,1,3,2005,2194
11,2,4,2003,2251
13,3,8,2003,2306
8,4,10,2003,2356
28,1,3,2005,2532
21,2,4,2003,2692
