timeid,DATE_ID,QTR_ID,MONTH_ID,YEAR_ID
74,23,4,11,2004
101,5,1,1,2005
76,2,1,2,2005
23,3,1,3,2005
24,8,2,4,2005
25,13,2,5,2005
106,11,1,2,2003
107,28,2,4,2003
108,12,2,6,2003
109,10,3,8,2003
110,6,4,10,2003
111,23,4,10,2003
112,8,4,11,2003
113,14,4,11,2003
114,26,4,11,2003
115,9,1,1,2004
116,19,1,2,2004
117,7,2,5,2004
118,17,2,6,2004
119,21,3,7,2004
120,20,3,8,2004
121,10,3,9,2004
122,14,4,10,2004
123,1,4,11,2004
124,5,4,11,2004
125,21,4,11,2004
126,2,4,12,2004
127,15,4,12,2004
128,31,1,1,2005
129,23,1,2,2005
130,17,1,3,2005
131,1,2,4,2005
132,6,2,5,2005
26,29,1,1,2003
134,1,2,4,2003
28,28,2,5,2003
29,24,3,7,2003
30,19,3,9,2003
138,21,4,10,2003
32,6,4,11,2003
33,13,4,11,2003
34,25,4,11,2003
142,9,4,12,2003
143,4,1,2,2004
144,11,1,3,2004
38,4,2,5,2004
39,15,2,6,2004
40,19,3,7,2004
148,19,3,8,2004
42,8,3,9,2004
150,13,4,10,2004
151,22,4,10,2004
45,4,4,11,2004
153,19,4,11,2004
47,29,4,11,2004
48,10,4,12,2004
49,20,1,1,2005
50,17,1,2,2005
51,9,1,3,2005
52,1,2,5,2005
53,31,2,5,2005
161,3,1,3,2003
162,8,2,5,2003
163,2,3,7,2003
164,5,3,9,2003
4,10,4,10,2003
166,4,4,11,2003
167,12,4,11,2003
168,20,4,11,2003
169,2,4,12,2003
9,15,1,1,2004
171,22,1,2,2004
172,9,2,4,2004
173,1,2,6,2004
174,6,3,7,2004
175,2,3,8,2004
176,30,3,8,2004
177,4,4,10,2003
178,16,4,10,2004
179,3,4,11,2004
19,15,4,11,2004
20,24,4,11,2004
182,6,1,1,2005
22,3,1,2,2005
23,3,1,3,2005
185,17,2,5,2005
106,11,1,2,2003
187,16,2,4,2003
188,3,2,6,2003
189,8,3,8,2003
190,28,3,9,2003
191,22,4,10,2003
32,6,4,11,2003
113,14,4,11,2003
114,26,4,11,2003
195,2,1,1,2004
196,12,1,2,2004
197,19,1,3,2004
198,5,2,5,2004
199,20,3,7,2004
120,20,3,8,2004
201,9,3,9,2004
122,14,4,10,2004
151,22,4,10,2004
124,5,4,11,2004
205,20,4,11,2004
123,1,4,11,2004
127,15,4,12,2004
208,23,1,1,2005
50,17,1,2,2005
130,17,1,3,2005
211,5,2,5,2005
26,29,1,1,2003
213,26,1,3,2003
28,28,2,5,2003
29,24,3,7,2003
30,19,3,9,2003
138,21,4,10,2003
32,6,4,11,2003
33,13,4,11,2003
34,25,4,11,2003
35,5,4,12,2003
222,2,1,2,2004
144,11,1,3,2004
38,4,2,5,2004
39,15,2,6,2004
40,19,3,7,2004
148,19,3,8,2004
42,8,3,9,2004
43,11,4,10,2004
151,22,4,10,2004
45,4,4,11,2004
46,18,4,11,2004
47,29,4,11,2004
48,10,4,12,2004
49,20,1,1,2005
50,17,1,2,2005
51,9,1,3,2005
52,1,2,5,2005
53,31,2,5,2005
0,24,1,2,2003
1,7,2,5,2003
2,1,3,7,2003
3,25,3,8,2003
4,10,4,10,2003
166,4,4,11,2003
6,11,4,11,2003
7,18,4,11,2003
8,1,4,12,2003
9,15,1,1,2004
250,21,1,2,2004
11,5,2,4,2004
12,18,2,5,2004
13,28,2,6,2004
175,2,3,8,2004
15,27,3,8,2004
16,30,3,9,2004
17,15,4,10,2004
179,3,4,11,2004
19,15,4,11,2004
20,24,4,11,2004
101,5,1,1,2005
22,3,1,2,2005
23,3,1,3,2005
24,8,2,4,2005
25,13,2,5,2005
266,31,1,1,2003
187,16,2,4,2003
188,3,2,6,2003
189,8,3,8,2003
190,28,3,9,2003
191,22,4,10,2003
32,6,4,11,2003
113,14,4,11,2003
114,26,4,11,2003
195,2,1,1,2004
196,12,1,2,2004
277,15,1,3,2004
198,5,2,5,2004
199,20,3,7,2004
120,20,3,8,2004
201,9,3,9,2004
122,14,4,10,2004
151,22,4,10,2004
124,5,4,11,2004
205,20,4,11,2004
123,1,4,11,2004
48,10,4,12,2004
288,26,1,1,2005
50,17,1,2,2005
211,5,2,5,2005
161,3,1,3,2003
162,8,2,5,2003
163,2,3,7,2003
164,5,3,9,2003
295,11,4,10,2003
166,4,4,11,2003
167,12,4,11,2003
168,20,4,11,2003
169,2,4,12,2003
300,16,1,1,2004
171,22,1,2,2004
172,9,2,4,2004
173,1,2,6,2004
174,6,3,7,2004
175,2,3,8,2004
176,30,3,8,2004
177,4,4,10,2003
178,16,4,10,2004
179,3,4,11,2004
19,15,4,11,2004
20,24,4,11,2004
182,6,1,1,2005
313,8,1,2,2005
23,3,1,3,2005
185,17,2,5,2005
106,11,1,2,2003
187,16,2,4,2003
188,3,2,6,2003
189,8,3,8,2003
190,28,3,9,2003
191,22,4,10,2003
32,6,4,11,2003
113,14,4,11,2003
114,26,4,11,2003
195,2,1,1,2004
196,12,1,2,2004
197,19,1,3,2004
198,5,2,5,2004
199,20,3,7,2004
120,20,3,8,2004
201,9,3,9,2004
122,14,4,10,2004
151,22,4,10,2004
124,5,4,11,2004
205,20,4,11,2004
336,1,4,12,2004
127,15,4,12,2004
288,26,1,1,2005
50,17,1,2,2005
340,23,1,3,2005
211,5,2,5,2005
161,3,1,3,2003
162,8,2,5,2003
163,2,3,7,2003
164,5,3,9,2003
4,10,4,10,2003
166,4,4,11,2003
167,12,4,11,2003
168,20,4,11,2003
169,2,4,12,2003
9,15,1,1,2004
171,22,1,2,2004
172,9,2,4,2004
173,1,2,6,2004
174,6,3,7,2004
175,2,3,8,2004
176,30,3,8,2004
177,4,4,10,2003
178,16,4,10,2004
179,3,4,11,2004
19,15,4,11,2004
20,24,4,11,2004
182,6,1,1,2005
364,9,1,2,2005
23,3,1,3,2005
185,17,2,5,2005
266,31,1,1,2003
368,4,2,4,2003
188,3,2,6,2003
370,1,3,8,2003
371,21,3,9,2003
191,22,4,10,2003
32,6,4,11,2003
113,14,4,11,2003
34,25,4,11,2003
142,9,4,12,2003
377,10,1,2,2004
144,11,1,3,2004
198,5,2,5,2004
39,15,2,6,2004
199,20,3,7,2004
148,19,3,8,2004
42,8,3,9,2004
150,13,4,10,2004
151,22,4,10,2004
124,5,4,11,2004
205,20,4,11,2004
336,1,4,12,2004
48,10,4,12,2004
208,23,1,1,2005
50,17,1,2,2005
392,3,2,5,2005
53,31,2,5,2005
161,3,1,3,2003
162,8,2,5,2003
163,2,3,7,2003
164,5,3,9,2003
295,11,4,10,2003
166,4,4,11,2003
167,12,4,11,2003
168,20,4,11,2003
169,2,4,12,2003
300,16,1,1,2004
171,22,1,2,2004
405,12,2,4,2004
173,1,2,6,2004
174,6,3,7,2004
408,4,3,8,2004
176,30,3,8,2004
177,4,4,10,2003
178,16,4,10,2004
45,4,4,11,2004
19,15,4,11,2004
20,24,4,11,2004
182,6,1,1,2005
364,9,1,2,2005
23,3,1,3,2005
418,14,2,4,2005
185,17,2,5,2005
26,29,1,1,2003
213,26,1,3,2003
28,28,2,5,2003
29,24,3,7,2003
30,19,3,9,2003
138,21,4,10,2003
32,6,4,11,2003
33,13,4,11,2003
34,25,4,11,2003
35,5,4,12,2003
36,29,1,1,2004
37,10,1,3,2004
38,4,2,5,2004
39,15,2,6,2004
40,19,3,7,2004
41,17,3,8,2004
42,8,3,9,2004
43,11,4,10,2004
44,21,4,10,2004
45,4,4,11,2004
46,18,4,11,2004
47,29,4,11,2004
48,10,4,12,2004
49,20,1,1,2005
50,17,1,2,2005
51,9,1,3,2005
52,1,2,5,2005
53,31,2,5,2005
448,10,1,3,2003
162,8,2,5,2003
450,4,3,7,2003
451,11,3,9,2003
452,17,4,10,2003
453,5,4,11,2003
167,12,4,11,2003
168,20,4,11,2003
169,2,4,12,2003
300,16,1,1,2004
171,22,1,2,2004
459,13,2,4,2004
173,1,2,6,2004
174,6,3,7,2004
462,6,3,8,2004
176,30,3,8,2004
464,5,4,10,2003
178,16,4,10,2004
45,4,4,11,2004
467,17,4,11,2004
20,24,4,11,2004
469,9,4,12,2004
470,7,1,1,2005
364,9,1,2,2005
472,4,1,3,2005
473,15,2,4,2005
185,17,2,5,2005
475,10,1,1,2003
476,25,1,3,2003
477,21,2,5,2003
478,16,3,7,2003
479,12,3,9,2003
480,18,4,10,2003
453,5,4,11,2003
167,12,4,11,2003
483,21,4,11,2003
484,3,4,12,2003
36,29,1,1,2004
486,2,1,3,2004
487,29,2,4,2004
488,8,2,6,2004
41,17,3,8,2004
490,3,3,9,2004
43,11,4,10,2004
44,21,4,10,2004
45,4,4,11,2004
467,17,4,11,2004
47,29,4,11,2004
469,9,4,12,2004
49,20,1,1,2005
498,16,1,2,2005
51,9,1,3,2005
500,30,2,5,2005
475,10,1,1,2003
476,25,1,3,2003
28,28,2,5,2003
478,16,3,7,2003
479,12,3,9,2003
480,18,4,10,2003
453,5,4,11,2003
167,12,4,11,2003
483,21,4,11,2003
484,3,4,12,2003
36,29,1,1,2004
486,2,1,3,2004
487,29,2,4,2004
488,8,2,6,2004
41,17,3,8,2004
490,3,3,9,2004
43,11,4,10,2004
44,21,4,10,2004
45,4,4,11,2004
467,17,4,11,2004
47,29,4,11,2004
469,9,4,12,2004
49,20,1,1,2005
50,17,1,2,2005
51,9,1,3,2005
500,30,2,5,2005
527,18,1,3,2003
528,20,2,5,2003
529,10,3,7,2003
451,11,3,9,2003
452,17,4,10,2003
453,5,4,11,2003
167,12,4,11,2003
168,20,4,11,2003
169,2,4,12,2003
300,16,1,1,2004
537,26,1,2,2004
459,13,2,4,2004
173,1,2,6,2004
174,6,3,7,2004
462,6,3,8,2004
542,1,3,9,2004
464,5,4,10,2003
178,16,4,10,2004
45,4,4,11,2004
467,17,4,11,2004
20,24,4,11,2004
548,12,1,1,2005
549,10,1,2,2005
550,22,2,4,2005
185,17,2,5,2005
552,17,1,2,2003
107,28,2,4,2003
554,16,2,6,2003
109,10,3,8,2003
110,6,4,10,2003
111,23,4,10,2003
112,8,4,11,2003
113,14,4,11,2003
560,27,4,11,2003
63,12,1,1,2004
116,19,1,2,2004
563,11,2,5,2004
564,24,2,6,2004
119,21,3,7,2004
566,21,3,8,2004
567,15,3,9,2004
122,14,4,10,2004
123,1,4,11,2004
570,10,4,11,2004
571,22,4,11,2004
572,3,4,12,2004
128,31,1,1,2005
574,1,1,3,2005
575,30,1,3,2005
131,1,2,4,2005
577,10,2,5,2005
578,6,1,1,2003
527,18,1,3,2003
477,21,2,5,2003
479,12,3,9,2003
480,18,4,10,2003
453,5,4,11,2003
167,12,4,11,2003
483,21,4,11,2003
169,2,4,12,2003
587,26,1,1,2004
486,2,1,3,2004
459,13,2,4,2004
41,17,3,8,2004
542,1,3,9,2004
110,6,4,10,2003
44,21,4,10,2004
467,17,4,11,2004
595,25,4,11,2004
548,12,1,1,2005
549,10,1,2,2005
550,22,2,4,2005
599,29,2,5,2005
161,3,1,3,2003
162,8,2,5,2003
163,2,3,7,2003
164,5,3,9,2003
295,11,4,10,2003
166,4,4,11,2003
167,12,4,11,2003
168,20,4,11,2003
169,2,4,12,2003
300,16,1,1,2004
171,22,1,2,2004
405,12,2,4,2004
173,1,2,6,2004
174,6,3,7,2004
462,6,3,8,2004
176,30,3,8,2004
177,4,4,10,2003
178,16,4,10,2004
45,4,4,11,2004
19,15,4,11,2004
20,24,4,11,2004
182,6,1,1,2005
364,9,1,2,2005
23,3,1,3,2005
418,14,2,4,2005
185,17,2,5,2005
448,10,1,3,2003
162,8,2,5,2003
450,4,3,7,2003
451,11,3,9,2003
452,17,4,10,2003
453,5,4,11,2003
167,12,4,11,2003
168,20,4,11,2003
169,2,4,12,2003
300,16,1,1,2004
537,26,1,2,2004
459,13,2,4,2004
173,1,2,6,2004
174,6,3,7,2004
462,6,3,8,2004
176,30,3,8,2004
464,5,4,10,2003
178,16,4,10,2004
45,4,4,11,2004
467,17,4,11,2004
20,24,4,11,2004
469,9,4,12,2004
648,10,1,1,2005
364,9,1,2,2005
472,4,1,3,2005
473,15,2,4,2005
185,17,2,5,2005
266,31,1,1,2003
368,4,2,4,2003
188,3,2,6,2003
370,1,3,8,2003
371,21,3,9,2003
191,22,4,10,2003
32,6,4,11,2003
113,14,4,11,2003
34,25,4,11,2003
142,9,4,12,2003
377,10,1,2,2004
277,15,1,3,2004
198,5,2,5,2004
39,15,2,6,2004
199,20,3,7,2004
120,20,3,8,2004
42,8,3,9,2004
150,13,4,10,2004
151,22,4,10,2004
124,5,4,11,2004
205,20,4,11,2004
336,1,4,12,2004
48,10,4,12,2004
208,23,1,1,2005
50,17,1,2,2005
392,3,2,5,2005
53,31,2,5,2005
578,6,1,1,2003
527,18,1,3,2003
477,21,2,5,2003
479,12,3,9,2003
480,18,4,10,2003
453,5,4,11,2003
167,12,4,11,2003
483,21,4,11,2003
169,2,4,12,2003
587,26,1,1,2004
486,2,1,3,2004
459,13,2,4,2004
41,17,3,8,2004
542,1,3,9,2004
694,6,4,10,2004
44,21,4,10,2004
467,17,4,11,2004
595,25,4,11,2004
548,12,1,1,2005
549,10,1,2,2005
550,22,2,4,2005
599,29,2,5,2005
266,31,1,1,2003
134,1,2,4,2003
188,3,2,6,2003
370,1,3,8,2003
371,21,3,9,2003
191,22,4,10,2003
32,6,4,11,2003
113,14,4,11,2003
34,25,4,11,2003
142,9,4,12,2003
144,11,1,3,2004
198,5,2,5,2004
39,15,2,6,2004
199,20,3,7,2004
148,19,3,8,2004
42,8,3,9,2004
150,13,4,10,2004
151,22,4,10,2004
124,5,4,11,2004
153,19,4,11,2004
336,1,4,12,2004
48,10,4,12,2004
49,20,1,1,2005
725,22,1,2,2005
392,3,2,5,2005
53,31,2,5,2005
728,9,1,1,2003
527,18,1,3,2003
477,21,2,5,2003
479,12,3,9,2003
480,18,4,10,2003
453,5,4,11,2003
167,12,4,11,2003
483,21,4,11,2003
169,2,4,12,2003
587,26,1,1,2004
486,2,1,3,2004
739,26,2,4,2004
41,17,3,8,2004
542,1,3,9,2004
43,11,4,10,2004
44,21,4,10,2004
45,4,4,11,2004
467,17,4,11,2004
595,25,4,11,2004
469,9,4,12,2004
548,12,1,1,2005
498,16,1,2,2005
472,4,1,3,2005
751,23,2,4,2005
599,29,2,5,2005
26,29,1,1,2003
134,1,2,4,2003
28,28,2,5,2003
29,24,3,7,2003
371,21,3,9,2003
191,22,4,10,2003
32,6,4,11,2003
113,14,4,11,2003
34,25,4,11,2003
142,9,4,12,2003
143,4,1,2,2004
144,11,1,3,2004
198,5,2,5,2004
39,15,2,6,2004
199,20,3,7,2004
148,19,3,8,2004
42,8,3,9,2004
150,13,4,10,2004
151,22,4,10,2004
45,4,4,11,2004
153,19,4,11,2004
47,29,4,11,2004
48,10,4,12,2004
49,20,1,1,2005
50,17,1,2,2005
51,9,1,3,2005
392,3,2,5,2005
53,31,2,5,2005
552,17,1,2,2003
55,29,2,4,2003
783,27,2,6,2003
3,25,3,8,2003
5,28,4,10,2003
63,12,1,1,2004
10,20,1,2,2004
788,2,2,4,2004
563,11,2,5,2004
13,28,2,6,2004
14,23,3,7,2004
566,21,3,8,2004
793,16,3,9,2004
17,15,4,10,2004
18,2,4,11,2004
570,10,4,11,2004
74,23,4,11,2004
798,4,4,12,2004
76,2,1,2,2005
574,1,1,3,2005
575,30,1,3,2005
802,3,2,4,2005
577,10,2,5,2005
0,24,1,2,2003
55,29,2,4,2003
2,1,3,7,2003
3,25,3,8,2003
4,10,4,10,2003
5,28,4,10,2003
6,11,4,11,2003
7,18,4,11,2003
8,1,4,12,2003
63,12,1,1,2004
10,20,1,2,2004
65,3,2,4,2004
12,18,2,5,2004
13,28,2,6,2004
14,23,3,7,2004
15,27,3,8,2004
70,27,3,9,2004
17,15,4,10,2004
18,2,4,11,2004
19,15,4,11,2004
74,23,4,11,2004
101,5,1,1,2005
76,2,1,2,2005
23,3,1,3,2005
78,7,2,4,2005
25,13,2,5,2005
728,9,1,1,2003
527,18,1,3,2003
477,21,2,5,2003
478,16,3,7,2003
479,12,3,9,2003
480,18,4,10,2003
453,5,4,11,2003
167,12,4,11,2003
483,21,4,11,2003
484,3,4,12,2003
587,26,1,1,2004
486,2,1,3,2004
487,29,2,4,2004
843,4,2,6,2004
41,17,3,8,2004
490,3,3,9,2004
43,11,4,10,2004
44,21,4,10,2004
45,4,4,11,2004
467,17,4,11,2004
47,29,4,11,2004
469,9,4,12,2004
548,12,1,1,2005
498,16,1,2,2005
472,4,1,3,2005
599,29,2,5,2005
448,10,1,3,2003
528,20,2,5,2003
529,10,3,7,2003
451,11,3,9,2003
452,17,4,10,2003
453,5,4,11,2003
167,12,4,11,2003
168,20,4,11,2003
169,2,4,12,2003
300,16,1,1,2004
537,26,1,2,2004
459,13,2,4,2004
173,1,2,6,2004
174,6,3,7,2004
462,6,3,8,2004
176,30,3,8,2004
464,5,4,10,2003
178,16,4,10,2004
45,4,4,11,2004
467,17,4,11,2004
20,24,4,11,2004
648,10,1,1,2005
549,10,1,2,2005
550,22,2,4,2005
185,17,2,5,2005
26,29,1,1,2003
27,24,1,3,2003
28,28,2,5,2003
478,16,3,7,2003
30,19,3,9,2003
31,20,4,10,2003
32,6,4,11,2003
33,13,4,11,2003
483,21,4,11,2003
35,5,4,12,2003
36,29,1,1,2004
37,10,1,3,2004
487,29,2,4,2004
894,14,2,6,2004
40,19,3,7,2004
41,17,3,8,2004
42,8,3,9,2004
43,11,4,10,2004
44,21,4,10,2004
45,4,4,11,2004
46,18,4,11,2004
47,29,4,11,2004
48,10,4,12,2004
49,20,1,1,2005
50,17,1,2,2005
51,9,1,3,2005
500,30,2,5,2005
26,29,1,1,2003
476,25,1,3,2003
28,28,2,5,2003
478,16,3,7,2003
30,19,3,9,2003
31,20,4,10,2003
453,5,4,11,2003
33,13,4,11,2003
483,21,4,11,2003
35,5,4,12,2003
36,29,1,1,2004
37,10,1,3,2004
487,29,2,4,2004
894,14,2,6,2004
922,16,3,7,2004
41,17,3,8,2004
42,8,3,9,2004
43,11,4,10,2004
44,21,4,10,2004
45,4,4,11,2004
467,17,4,11,2004
47,29,4,11,2004
48,10,4,12,2004
49,20,1,1,2005
50,17,1,2,2005
933,10,1,3,2005
500,30,2,5,2005
552,17,1,2,2003
107,28,2,4,2003
554,16,2,6,2003
109,10,3,8,2003
110,6,4,10,2003
111,23,4,10,2003
112,8,4,11,2003
113,14,4,11,2003
114,26,4,11,2003
115,9,1,1,2004
116,19,1,2,2004
117,7,2,5,2004
564,24,2,6,2004
119,21,3,7,2004
120,20,3,8,2004
567,15,3,9,2004
122,14,4,10,2004
123,1,4,11,2004
570,10,4,11,2004
571,22,4,11,2004
126,2,4,12,2004
128,31,1,1,2005
574,1,1,3,2005
575,30,1,3,2005
131,1,2,4,2005
132,6,2,5,2005
26,29,1,1,2003
476,25,1,3,2003
28,28,2,5,2003
478,16,3,7,2003
30,19,3,9,2003
31,20,4,10,2003
453,5,4,11,2003
33,13,4,11,2003
483,21,4,11,2003
35,5,4,12,2003
36,29,1,1,2004
37,10,1,3,2004
487,29,2,4,2004
894,14,2,6,2004
40,19,3,7,2004
41,17,3,8,2004
42,8,3,9,2004
43,11,4,10,2004
44,21,4,10,2004
45,4,4,11,2004
467,17,4,11,2004
47,29,4,11,2004
48,10,4,12,2004
49,20,1,1,2005
50,17,1,2,2005
933,10,1,3,2005
500,30,2,5,2005
106,11,1,2,2003
187,16,2,4,2003
990,6,2,6,2003
189,8,3,8,2003
190,28,3,9,2003
138,21,4,10,2003
994,7,4,11,2003
113,14,4,11,2003
114,26,4,11,2003
195,2,1,1,2004
998,18,1,2,2004
999,20,1,3,2004
117,7,2,5,2004
119,21,3,7,2004
120,20,3,8,2004
201,9,3,9,2004
122,14,4,10,2004
151,22,4,10,2004
124,5,4,11,2004
205,20,4,11,2004
126,2,4,12,2004
288,26,1,1,2005
725,22,1,2,2005
340,23,1,3,2005
132,6,2,5,2005
266,31,1,1,2003
448,10,1,3,2003
134,1,2,4,2003
162,8,2,5,2003
188,3,2,6,2003
450,4,3,7,2003
370,1,3,8,2003
451,11,3,9,2003
371,21,3,9,2003
295,11,4,10,2003
191,22,4,10,2003
453,5,4,11,2003
32,6,4,11,2003
167,12,4,11,2003
113,14,4,11,2003
168,20,4,11,2003
34,25,4,11,2003
169,2,4,12,2003
142,9,4,12,2003
300,16,1,1,2004
171,22,1,2,2004
144,11,1,3,2004
405,12,2,4,2004
198,5,2,5,2004
173,1,2,6,2004
39,15,2,6,2004
174,6,3,7,2004
199,20,3,7,2004
462,6,3,8,2004
148,19,3,8,2004
176,30,3,8,2004
42,8,3,9,2004
464,5,4,10,2003
150,13,4,10,2004
178,16,4,10,2004
151,22,4,10,2004
45,4,4,11,2004
124,5,4,11,2004
467,17,4,11,2004
153,19,4,11,2004
20,24,4,11,2004
336,1,4,12,2004
48,10,4,12,2004
648,10,1,1,2005
49,20,1,1,2005
364,9,1,2,2005
725,22,1,2,2005
1060,15,1,3,2005
418,14,2,4,2005
392,3,2,5,2005
185,17,2,5,2005
53,31,2,5,2005
106,11,1,2,2003
187,16,2,4,2003
990,6,2,6,2003
189,8,3,8,2003
190,28,3,9,2003
191,22,4,10,2003
994,7,4,11,2003
113,14,4,11,2003
114,26,4,11,2003
195,2,1,1,2004
998,18,1,2,2004
999,20,1,3,2004
117,7,2,5,2004
119,21,3,7,2004
120,20,3,8,2004
201,9,3,9,2004
122,14,4,10,2004
151,22,4,10,2004
1083,9,4,11,2004
205,20,4,11,2004
126,2,4,12,2004
288,26,1,1,2005
725,22,1,2,2005
340,23,1,3,2005
132,6,2,5,2005
161,3,1,3,2003
162,8,2,5,2003
163,2,3,7,2003
164,5,3,9,2003
4,10,4,10,2003
166,4,4,11,2003
167,12,4,11,2003
168,20,4,11,2003
169,2,4,12,2003
9,15,1,1,2004
171,22,1,2,2004
172,9,2,4,2004
1102,26,2,5,2004
1103,2,3,7,2004
175,2,3,8,2004
176,30,3,8,2004
177,4,4,10,2003
178,16,4,10,2004
179,3,4,11,2004
19,15,4,11,2004
20,24,4,11,2004
182,6,1,1,2005
549,10,1,2,2005
472,4,1,3,2005
26,29,1,1,2003
476,25,1,3,2003
28,28,2,5,2003
478,16,3,7,2003
479,12,3,9,2003
31,20,4,10,2003
453,5,4,11,2003
167,12,4,11,2003
483,21,4,11,2003
35,5,4,12,2003
36,29,1,1,2004
486,2,1,3,2004
487,29,2,4,2004
894,14,2,6,2004
41,17,3,8,2004
1129,7,3,9,2004
43,11,4,10,2004
44,21,4,10,2004
124,5,4,11,2004
46,18,4,11,2004
47,29,4,11,2004
48,10,4,12,2004
49,20,1,1,2005
50,17,1,2,2005
933,10,1,3,2005
500,30,2,5,2005
161,3,1,3,2003
162,8,2,5,2003
163,2,3,7,2003
164,5,3,9,2003
4,10,4,10,2003
166,4,4,11,2003
167,12,4,11,2003
168,20,4,11,2003
169,2,4,12,2003
9,15,1,1,2004
171,22,1,2,2004
172,9,2,4,2004
1102,26,2,5,2004
1103,2,3,7,2004
175,2,3,8,2004
176,30,3,8,2004
177,4,4,10,2003
178,16,4,10,2004
179,3,4,11,2004
1159,16,4,11,2004
20,24,4,11,2004
1161,7,4,12,2004
182,6,1,1,2005
549,10,1,2,2005
472,4,1,3,2005
448,10,1,3,2003
528,20,2,5,2003
529,10,3,7,2003
451,11,3,9,2003
452,17,4,10,2003
453,5,4,11,2003
167,12,4,11,2003
168,20,4,11,2003
169,2,4,12,2003
300,16,1,1,2004
537,26,1,2,2004
459,13,2,4,2004
173,1,2,6,2004
174,6,3,7,2004
462,6,3,8,2004
176,30,3,8,2004
464,5,4,10,2003
178,16,4,10,2004
45,4,4,11,2004
467,17,4,11,2004
20,24,4,11,2004
548,12,1,1,2005
549,10,1,2,2005
473,15,2,4,2005
185,17,2,5,2005
161,3,1,3,2003
162,8,2,5,2003
163,2,3,7,2003
1193,3,3,9,2003
4,10,4,10,2003
166,4,4,11,2003
6,11,4,11,2003
168,20,4,11,2003
9,15,1,1,2004
250,21,1,2,2004
11,5,2,4,2004
1102,26,2,5,2004
1202,30,2,6,2004
175,2,3,8,2004
1204,28,3,8,2004
16,30,3,9,2004
178,16,4,10,2004
179,3,4,11,2004
1159,16,4,11,2004
20,24,4,11,2004
1161,7,4,12,2004
182,6,1,1,2005
549,10,1,2,2005
472,4,1,3,2005
24,8,2,4,2005
552,17,1,2,2003
107,28,2,4,2003
554,16,2,6,2003
109,10,3,8,2003
110,6,4,10,2003
111,23,4,10,2003
112,8,4,11,2003
113,14,4,11,2003
114,26,4,11,2003
115,9,1,1,2004
116,19,1,2,2004
1226,8,2,5,2004
564,24,2,6,2004
119,21,3,7,2004
120,20,3,8,2004
567,15,3,9,2004
122,14,4,10,2004
123,1,4,11,2004
1233,12,4,11,2004
571,22,4,11,2004
572,3,4,12,2004
128,31,1,1,2005
574,1,1,3,2005
575,30,1,3,2005
131,1,2,4,2005
1240,9,2,5,2005
266,31,1,1,2003
187,16,2,4,2003
188,3,2,6,2003
189,8,3,8,2003
1245,25,3,9,2003
191,22,4,10,2003
32,6,4,11,2003
113,14,4,11,2003
114,26,4,11,2003
142,9,4,12,2003
196,12,1,2,2004
277,15,1,3,2004
198,5,2,5,2004
199,20,3,7,2004
120,20,3,8,2004
42,8,3,9,2004
122,14,4,10,2004
151,22,4,10,2004
124,5,4,11,2004
125,21,4,11,2004
336,1,4,12,2004
48,10,4,12,2004
288,26,1,1,2005
